buying,maint,doors,persons,trunk,safety,class
vhigh,vhigh,3 a menos,2,pequeño,low,unacc
vhigh,vhigh,3 a menos,2,pequeño,med,unacc
vhigh,vhigh,3 a menos,2,pequeño,high,unacc
vhigh,vhigh,3 a menos,2,mediano,low,unacc
vhigh,vhigh,3 a menos,2,mediano,med,unacc
vhigh,vhigh,3 a menos,2,mediano,high,unacc
vhigh,vhigh,3 a menos,2,grande,low,unacc
vhigh,vhigh,3 a menos,2,grande,med,unacc
vhigh,vhigh,3 a menos,2,grande,high,unacc
vhigh,vhigh,3 a menos,4,pequeño,low,unacc
vhigh,vhigh,3 a menos,4,pequeño,med,unacc
vhigh,vhigh,3 a menos,4,pequeño,high,unacc
vhigh,vhigh,3 a menos,4,mediano,low,unacc
vhigh,vhigh,3 a menos,4,mediano,med,unacc
vhigh,vhigh,3 a menos,4,mediano,high,unacc
vhigh,vhigh,3 a menos,4,grande,low,unacc
vhigh,vhigh,3 a menos,4,grande,med,unacc
vhigh,vhigh,3 a menos,4,grande,high,unacc
vhigh,vhigh,3 a menos,more,pequeño,low,unacc
vhigh,vhigh,3 a menos,more,pequeño,med,unacc
vhigh,vhigh,3 a menos,more,pequeño,high,unacc
vhigh,vhigh,3 a menos,more,mediano,low,unacc
vhigh,vhigh,3 a menos,more,mediano,med,unacc
vhigh,vhigh,3 a menos,more,mediano,high,unacc
vhigh,vhigh,3 a menos,more,grande,low,unacc
vhigh,vhigh,3 a menos,more,grande,med,unacc
vhigh,vhigh,3 a menos,more,grande,high,unacc
vhigh,vhigh,3 a menos,2,pequeño,low,unacc
vhigh,vhigh,3 a menos,2,pequeño,med,unacc
vhigh,vhigh,3 a menos,2,pequeño,high,unacc
vhigh,vhigh,3 a menos,2,mediano,low,unacc
vhigh,vhigh,3 a menos,2,mediano,med,unacc
vhigh,vhigh,3 a menos,2,mediano,high,unacc
vhigh,vhigh,3 a menos,2,grande,low,unacc
vhigh,vhigh,3 a menos,2,grande,med,unacc
vhigh,vhigh,3 a menos,2,grande,high,unacc
vhigh,vhigh,3 a menos,4,pequeño,low,unacc
vhigh,vhigh,3 a menos,4,pequeño,med,unacc
vhigh,vhigh,3 a menos,4,pequeño,high,unacc
vhigh,vhigh,3 a menos,4,mediano,low,unacc
vhigh,vhigh,3 a menos,4,mediano,med,unacc
vhigh,vhigh,3 a menos,4,mediano,high,unacc
vhigh,vhigh,3 a menos,4,grande,low,unacc
vhigh,vhigh,3 a menos,4,grande,med,unacc
vhigh,vhigh,3 a menos,4,grande,high,unacc
vhigh,vhigh,3 a menos,more,pequeño,low,unacc
vhigh,vhigh,3 a menos,more,pequeño,med,unacc
vhigh,vhigh,3 a menos,more,pequeño,high,unacc
vhigh,vhigh,3 a menos,more,mediano,low,unacc
vhigh,vhigh,3 a menos,more,mediano,med,unacc
vhigh,vhigh,3 a menos,more,mediano,high,unacc
vhigh,vhigh,3 a menos,more,grande,low,unacc
vhigh,vhigh,3 a menos,more,grande,med,unacc
vhigh,vhigh,3 a menos,more,grande,high,unacc
vhigh,vhigh,4 a más,2,pequeño,low,unacc
vhigh,vhigh,4 a más,2,pequeño,med,unacc
vhigh,vhigh,4 a más,2,pequeño,high,unacc
vhigh,vhigh,4 a más,2,mediano,low,unacc
vhigh,vhigh,4 a más,2,mediano,med,unacc
vhigh,vhigh,4 a más,2,mediano,high,unacc
vhigh,vhigh,4 a más,2,grande,low,unacc
vhigh,vhigh,4 a más,2,grande,med,unacc
vhigh,vhigh,4 a más,2,grande,high,unacc
vhigh,vhigh,4 a más,4,pequeño,low,unacc
vhigh,vhigh,4 a más,4,pequeño,med,unacc
vhigh,vhigh,4 a más,4,pequeño,high,unacc
vhigh,vhigh,4 a más,4,mediano,low,unacc
vhigh,vhigh,4 a más,4,mediano,med,unacc
vhigh,vhigh,4 a más,4,mediano,high,unacc
vhigh,vhigh,4 a más,4,grande,low,unacc
vhigh,vhigh,4 a más,4,grande,med,unacc
vhigh,vhigh,4 a más,4,grande,high,unacc
vhigh,vhigh,4 a más,more,pequeño,low,unacc
vhigh,vhigh,4 a más,more,pequeño,med,unacc
vhigh,vhigh,4 a más,more,pequeño,high,unacc
vhigh,vhigh,4 a más,more,mediano,low,unacc
vhigh,vhigh,4 a más,more,mediano,med,unacc
